"siteid","sitename","sitedescription","indigName","indigID","indigSlug"
"4050","Cribb's Crib [13WA105]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4051","Murl Brown Bison Kill [13IA4]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4051","Murl Brown Bison Kill [13IA4]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4051","Murl Brown Bison Kill [13IA4]","","Yankton","34685","yankton"
"4052","Sweet Jane [13BN279]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4052","Sweet Jane [13BN279]","","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"4052","Sweet Jane [13BN279]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4053","Coldwater Cave","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4053","Coldwater Cave","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4053","Coldwater Cave","","Illinois","34174","illinois"
"4054","Broken Kettle West [13PM25]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4054","Broken Kettle West [13PM25]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4054","Broken Kettle West [13PM25]","","Yankton","34685","yankton"
"4054","Broken Kettle West [13PM25]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4054","Broken Kettle West [13PM25]","","Umo<U+207F>ho<U+207F> (Omaha)","34394","omaha-2"
"4055","Elkader","The fossils come from a poorly bedded silt with weakly stratified angular cobbles overlain by about 9m of loess and alluvial fan deposits.","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4055","Elkader","The fossils come from a poorly bedded silt with weakly stratified angular cobbles overlain by about 9m of loess and alluvial fan deposits.","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4055","Elkader","The fossils come from a poorly bedded silt with weakly stratified angular cobbles overlain by about 9m of loess and alluvial fan deposits.","Illinois","34174","illinois"
"4056","Wittrock [13OB4]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4056","Wittrock [13OB4]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4056","Wittrock [13OB4]","","Yankton","34685","yankton"
"4056","Wittrock [13OB4]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4057","Dixon [13WD8]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4057","Dixon [13WD8]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4057","Dixon [13WD8]","","Yankton","34685","yankton"
"4058","Fingerprint Cave","","N<U+0289>m<U+0289>n<U+0289><U+0289> (Comanche)","34812","comanche"
"4058","Fingerprint Cave","","Jumanos","34782","jumanos-2"
"4059","Garrett Farm","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4059","Garrett Farm","","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"4059","Garrett Farm","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4060","Pleasant Ridge","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4060","Pleasant Ridge","","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"4060","Pleasant Ridge","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4061","Brewster [13CK15]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4061","Brewster [13CK15]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4061","Brewster [13CK15]","","Yankton","34685","yankton"
"4061","Brewster [13CK15]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4062","Thurman","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4062","Thurman","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4062","Thurman","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4062","Thurman","","J<U+00ED>were ich<U+2019><U+00E9>","33542","jiwere-iche"
"4063","Kingston [13DM3]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4063","Kingston [13DM3]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4063","Kingston [13DM3]","","Illinois","34174","illinois"
"4064","Hadfield's Cave [13JN3]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4064","Hadfield's Cave [13JN3]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4064","Hadfield's Cave [13JN3]","","Illinois","34174","illinois"
"4065","Michel's Cave [13JK90]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4065","Michel's Cave [13JK90]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4065","Michel's Cave [13JK90]","","Illinois","34174","illinois"
"4066","Woodpecker Cave [13JH202]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4066","Woodpecker Cave [13JH202]","","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"4066","Woodpecker Cave [13JH202]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4066","Woodpecker Cave [13JH202]","","Illinois","34174","illinois"
"4067","McKinney [13LA1]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4067","McKinney [13LA1]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4067","McKinney [13LA1]","","Illinois","34174","illinois"
"4068","Lane Enclosure [13AM200]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4068","Lane Enclosure [13AM200]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4068","Lane Enclosure [13AM200]","","Illinois","34174","illinois"
"4069","Rainbow [13PM91]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4069","Rainbow [13PM91]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4069","Rainbow [13PM91]","","Yankton","34685","yankton"
"4069","Rainbow [13PM91]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4070","Willard Cave","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4070","Willard Cave","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4070","Willard Cave","","Illinois","34174","illinois"
"4071","Schmitt [13DB46]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4071","Schmitt [13DB46]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4071","Schmitt [13DB46]","","Illinois","34174","illinois"
"4072","Mud Creek","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4072","Mud Creek","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4072","Mud Creek","","Illinois","34174","illinois"
"4073","Dows","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4073","Dows","","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"4073","Dows","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4074","Arthur [13DK27]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4074","Arthur [13DK27]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4074","Arthur [13DK27]","","Yankton","34685","yankton"
"4074","Arthur [13DK27]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4075","Milford [13DK1]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4075","Milford [13DK1]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4075","Milford [13DK1]","","Yankton","34685","yankton"
"4075","Milford [13DK1]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4076","Cherokee Sewer [13CK405]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4076","Cherokee Sewer [13CK405]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4076","Cherokee Sewer [13CK405]","","Yankton","34685","yankton"
"4076","Cherokee Sewer [13CK405]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4077","M.A.D [13Cf101]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4077","M.A.D [13Cf101]","","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"4077","M.A.D [13Cf101]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4077","M.A.D [13Cf101]","","Yankton","34685","yankton"
"4078","Brayton","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4078","Brayton","","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"4078","Brayton","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4079","Waubonsie","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4079","Waubonsie","","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"4079","Waubonsie","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4080","Craigmile","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4080","Craigmile","","B<U+00E1>xoje ich<U+2019><U+00E9> (Iowa)","34915","iowa-2"
"4080","Craigmile","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4082","Eagle Point","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4082","Eagle Point","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4082","Eagle Point","","Illinois","34174","illinois"
"4083","13LA30","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4083","13LA30","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4083","13LA30","","Illinois","34174","illinois"
"4084","13LA38","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4084","13LA38","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4084","13LA38","","Illinois","34174","illinois"
"4085","Cascade House [5MT4512]","","Ute","34257","ute-2"
"4086","Apricot Hamlet [5MT2858]","","Ute","34257","ute-2"
"4087","Recon John Shelter","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4087","Recon John Shelter","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4087","Recon John Shelter","","Ute","34257","ute-2"
"4088","Hulme [25HL28]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4088","Hulme [25HL28]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4088","Hulme [25HL28]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4088","Hulme [25HL28]","","Pawnee","34204","pawnee-2"
"4089","Claypool","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4089","Claypool","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4089","Claypool","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4089","Claypool","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4089","Claypool","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4090","Cattleguard [5AL101]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4090","Cattleguard [5AL101]","","Ute","34257","ute-2"
"4091","Fowler-Parrish","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4091","Fowler-Parrish","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4091","Fowler-Parrish","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4091","Fowler-Parrish","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4091","Fowler-Parrish","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4092","Linger","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4092","Linger","","Ute","34257","ute-2"
"4093","Frasca [5LO19]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4093","Frasca [5LO19]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4093","Frasca [5LO19]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4093","Frasca [5LO19]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4093","Frasca [5LO19]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4094","Olsen-Chubbuck [5CH3]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4094","Olsen-Chubbuck [5CH3]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4094","Olsen-Chubbuck [5CH3]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4094","Olsen-Chubbuck [5CH3]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4094","Olsen-Chubbuck [5CH3]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4095","Zapata","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4095","Zapata","","Ute","34257","ute-2"
"4096","Dent","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4096","Dent","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4096","Dent","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4096","Dent","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4096","Dent","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4097","Jurgens [5WLl53]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4097","Jurgens [5WLl53]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4097","Jurgens [5WLl53]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4097","Jurgens [5WLl53]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4097","Jurgens [5WLl53]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4098","Sun River [24CA74]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4098","Sun River [24CA74]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4098","Sun River [24CA74]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4098","Sun River [24CA74]","","Blackfoot","34281","blackfoot"
"4098","Sun River [24CA74]","","<U+14C0><U+1426><U+1403><U+152D><U+140D><U+140F><U+1423> N<U+0113>hiyaw<U+0113>win (Plains Cree)","34221","plains-cree-2"
"4099","Holmes Terrace [24FR52]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4099","Holmes Terrace [24FR52]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4099","Holmes Terrace [24FR52]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4099","Holmes Terrace [24FR52]","","<U+14C0><U+1426><U+1403><U+152D><U+140D><U+140F><U+1423> N<U+0113>hiyaw<U+0113>win (Plains Cree)","34221","plains-cree-2"
"4099","Holmes Terrace [24FR52]","","Gros Ventre","34196","gros-ventre"
"4099","Holmes Terrace [24FR52]","","Michif","33119","michif"
"4100","Big Lip [24CB75]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4100","Big Lip [24CB75]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4100","Big Lip [24CB75]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4100","Big Lip [24CB75]","","Crow","34566","crow"
"4100","Big Lip [24CB75]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4101","Montana Ice Cave [KU-MT-41]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4101","Montana Ice Cave [KU-MT-41]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4101","Montana Ice Cave [KU-MT-41]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4101","Montana Ice Cave [KU-MT-41]","","Crow","34566","crow"
"4101","Montana Ice Cave [KU-MT-41]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4101","Montana Ice Cave [KU-MT-41]","","Gros Ventre","34196","gros-ventre"
"4101","Montana Ice Cave [KU-MT-41]","","Michif","33119","michif"
"4102","County Line [24MO197]","","Salish","34508","flathead"
"4102","County Line [24MO197]","","Ktunaxa","34430","ktunaxa-2"
"4103","Lightning Spring [39HN204]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4103","Lightning Spring [39HN204]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4103","Lightning Spring [39HN204]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4103","Lightning Spring [39HN204]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4104","Ellison's Rock [24RB1020]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4104","Ellison's Rock [24RB1020]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4104","Ellison's Rock [24RB1020]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4104","Ellison's Rock [24RB1020]","","Crow","34566","crow"
"4104","Ellison's Rock [24RB1020]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4105","Bootlegger Trail [24TL1237]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4105","Bootlegger Trail [24TL1237]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4105","Bootlegger Trail [24TL1237]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4105","Bootlegger Trail [24TL1237]","","Blackfoot","34281","blackfoot"
"4105","Bootlegger Trail [24TL1237]","","<U+14C0><U+1426><U+1403><U+152D><U+140D><U+140F><U+1423> N<U+0113>hiyaw<U+0113>win (Plains Cree)","34221","plains-cree-2"
"4105","Bootlegger Trail [24TL1237]","","Michif","33119","michif"
"4106","Shield Trap [24CB91]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4106","Shield Trap [24CB91]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4106","Shield Trap [24CB91]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4106","Shield Trap [24CB91]","","Crow","34566","crow"
"4106","Shield Trap [24CB91]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4107","False Cougar Cave","The fossils come from sediments in a limestone cave located near the summit of East Pryor Mountain at the head of a southwest trending canyon","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4107","False Cougar Cave","The fossils come from sediments in a limestone cave located near the summit of East Pryor Mountain at the head of a southwest trending canyon","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4107","False Cougar Cave","The fossils come from sediments in a limestone cave located near the summit of East Pryor Mountain at the head of a southwest trending canyon","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4107","False Cougar Cave","The fossils come from sediments in a limestone cave located near the summit of East Pryor Mountain at the head of a southwest trending canyon","Crow","34566","crow"
"4107","False Cougar Cave","The fossils come from sediments in a limestone cave located near the summit of East Pryor Mountain at the head of a southwest trending canyon","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4108","Warm Springs #1","","Blackfoot","34281","blackfoot"
"4109","Morse Creek #1","","Salish","34508","flathead"
"4109","Morse Creek #1","","Ktunaxa","34430","ktunaxa-2"
"4109","Morse Creek #1","","Blackfoot","34281","blackfoot"
"4110","Archery [48SW5222]","","Shoshoni","34682","shoshoni"
"4111","Texas Creek Overlook [Bison Hump Shelter] [5RB2435]","","Ute","34257","ute-2"
"4112","Yarmony [5EA799]","","Ute","34257","ute-2"
"4113","Dutch Creek [5JF463]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4113","Dutch Creek [5JF463]","","Ute","34257","ute-2"
"4114","5MT3","","Ute","34257","ute-2"
"4115","Tamarran [5LP326]","","Ute","34257","ute-2"
"4116","Walton Creek [5RT11]","","Ute","34257","ute-2"
"4117","Dotsero [5EA128]","","Ute","34257","ute-2"
"4118","Blacktail Cave [24LC151]","","Blackfoot","34281","blackfoot"
"4119","Janich [24ML411]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4119","Janich [24ML411]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4119","Janich [24ML411]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4119","Janich [24ML411]","","Crow","34566","crow"
"4119","Janich [24ML411]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4120","Drake [24YL51]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4120","Drake [24YL51]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4120","Drake [24YL51]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4120","Drake [24YL51]","","Crow","34566","crow"
"4120","Drake [24YL51]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4121","Hagen [24DW2]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4121","Hagen [24DW2]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4121","Hagen [24DW2]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4121","Hagen [24DW2]","","Crow","34566","crow"
"4121","Hagen [24DW2]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4121","Hagen [24DW2]","","Michif","33119","michif"
"4122","Pictograph Cave [Inscription Cave] [24YL1]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4122","Pictograph Cave [Inscription Cave] [24YL1]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4122","Pictograph Cave [Inscription Cave] [24YL1]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4122","Pictograph Cave [Inscription Cave] [24YL1]","","Crow","34566","crow"
"4122","Pictograph Cave [Inscription Cave] [24YL1]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4123","Fort Davy Crockett [5MF605]","","Ute","34257","ute-2"
"4124","Chamber Cave","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4124","Chamber Cave","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4124","Chamber Cave","","Ute","34257","ute-2"
"4125","Gordon Creek Burial [5LR99]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4125","Gordon Creek Burial [5LR99]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4125","Gordon Creek Burial [5LR99]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4125","Gordon Creek Burial [5LR99]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4125","Gordon Creek Burial [5LR99]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4126","McEndree Ranch [5BA30]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4127","Graeber Cave","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4127","Graeber Cave","","Ute","34257","ute-2"
"4128","Hall-Woodland Cave [5JF9]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4128","Hall-Woodland Cave [5JF9]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4128","Hall-Woodland Cave [5JF9]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4128","Hall-Woodland Cave [5JF9]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4128","Hall-Woodland Cave [5JF9]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4128","Hall-Woodland Cave [5JF9]","","Ute","34257","ute-2"
"4129","Merino [5LG122]","","Dakh<U+00F3>ta (Eastern Dakota)","34960","dakhota"
"4129","Merino [5LG122]","","Dak<U+021F><U+00F3>ta (Western Dakota)","34825","dakhota-2"
"4129","Merino [5LG122]","","Lak<U+021F><U+00F3>tiyapi (Lakota)","34674","lakotayapi"
"4129","Merino [5LG122]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4129","Merino [5LG122]","","Hin<U+00F3>no<U+02BC>eit<U+00ED><U+00ED>t (Arapaho)","34256","arapaho-2"
"4130","Avery Ranch [s:5:8]","","Ts<U+0117>h<U+00E9>sen<U+0117>stsest<U+022F>tse (Cheyenne)","34333","cheyenne-2"
"4130","Avery Ranch [s:5:8]","","Ute","34257","ute-2"
"4131","Pozo Hamlet [5MT4613]","","Ute","34257","ute-2"
"4132","Prairie Dog Hamlet [5MT4614]","","Ute","34257","ute-2"
"4133","Tres Bobos Hamlet [5MT4545]","","Ute","34257","ute-2"
"4134","Dos Casas Hamlet [5MT2193]","","Ute","34257","ute-2"
"4135","Casa Bodega Hamlet [5MT2194]","","Ute","34257","ute-2"
"4136","Lemoc Shelter [5MT2151]","","Ute","34257","ute-2"
"4137","Poco Tiempo Hamlet [5MT2378]","","Ute","34257","ute-2"
