FILINGPERIODNAME,REPORTTYPECODE,REPORTNAME,REGISTRANTTYPE,DATEFILED,AMENDEDDATE,COMMITTEE ID,REGISTRANTNAME,ELECTIONYEAR,BRANCH,FILINGYEAR,EXTENSION,COMMENTFLAG,ATTACHMENT,VIEWREPORTTYPE,CREATEDDATE,
July Continuing 2020,EB2,Committee Report,State Candidate,7/10/2020,7/10/2020,0106325,Team Ellenson,,State Assembly  District No. 75,2020,,False,,1,2020-05-30T08:34:51.273,
July Continuing 2020,EB2,Committee Report,Political Party,7/10/2020,,0300023,Chippewa Co Democratic Party,,,2020,,False,,1,2020-01-12T12:45:12.877,
July Continuing 2020,EB2A,Committee Report - No Activity,PAC,7/10/2020,,0500986,North Shore Bank PAC,,,2020,,False,,1,2020-07-10T18:14:30.117,
July Continuing 2020,EB10A,Conduit Report - No Activity,Conduit,7/10/2020,,0900197,Schneider Moving Forward Fund ,,,2020,,False,,1,2019-10-29T09:50:05.200,
July Continuing 2020,EB2,Committee Report,State Candidate,7/10/2020,7/16/2020,0105729,Don Vruwink for Assembly,,State Assembly  District No. 43,2020,,False,,1,2020-04-06T08:46:22.767,
July Continuing 2020,EB2,Committee Report,State Candidate,7/11/2020,,0104355,Mursau for Assembly,,State Assembly  District No. 36,2020,,False,,1,2020-05-28T22:07:47.157,
July Continuing 2020,EB2,Committee Report,State Candidate,7/11/2020,,0105174,Citizens for District Attorney Klomberg,,Dodge County District Attorney,2020,,False,,1,2020-07-11T11:22:30.820,
July Continuing 2020,EB2A,Committee Report - No Activity,State Candidate,7/11/2020,,0105656,Citizens for Michelle Havas,,Milwaukee County Circuit Court  Branch 10,2020,,False,,1,2020-01-08T20:14:19.303,
July Continuing 2020,EB2,Committee Report,State Candidate,7/11/2020,7/11/2020,0102942,Friends of Mark Miller,,State Senate  District No. 16,2020,,False,,1,2020-01-11T13:02:23.577,
July Continuing 2020,EB2,Committee Report,Political Party,7/11/2020,9/14/2021,0300081,Green Lake County Republican Organization,,,2020,,False,,1,2020-07-11T09:32:37.373,
July Continuing 2020,EB2,Committee Report,PAC,7/11/2020,,0501487,Franklin Professional Firefighters Political Action Committee,,,2020,,False,,1,2020-07-11T14:39:08.187,
July Continuing 2020,EB2,Committee Report,Political Party,7/11/2020,9/6/2021,0300110,Marquette Co Republican Party,,,2020,,False,,1,2020-07-01T18:18:03.783,
July Continuing 2020,EB2,Committee Report,State Candidate,7/11/2020,,0105459,Burke for Wisconsin,,Governor,2020,,False,,1,2020-07-11T17:30:25.167,
July Continuing 2020,EB2,Committee Report,State Candidate,7/11/2020,,0105942,De Leon For Assembly,,State Assembly  District No. 88,2020,,False,,0,2020-02-17T16:37:37.223,
Fall Pre-Primary 2020,EB2,Committee Report,State Candidate,7/11/2020,,0105942,De Leon For Assembly,2020,State Assembly  District No. 88,2020,,False,,0,2020-02-17T16:37:37.223,
July Continuing 2020,EB2,Committee Report,Political Party,7/11/2020,,0300141,Pierce Co Democratic Party,,,2020,,False,,1,2020-07-11T19:07:35.613,
July Continuing 2020,EB2A,Committee Report - No Activity,State Candidate,7/11/2020,,0105758,Bughman for Assembly,,State Assembly  District No. 07,2020,,False,,1,2017-07-08T09:31:17.450,
July Continuing 2020,EB2,Committee Report,State Candidate,7/11/2020,9/13/2021,0106314,Jonathan Wichmann for Wisconsin Governor,,Governor,2020,,False,,1,2020-05-18T20:33:30.513,
July Continuing 2020,EB2,Committee Report,State Candidate,7/11/2020,,0106206,Leusink For District Attorney,,Waushara County District Attorney,2020,,False,,1,2020-03-13T18:50:58.440,
July Continuing 2020,EB2,Committee Report,Political Party,7/12/2020,,0300091,Kenosha Co Democratic Party,,,2020,,False,1410e073-49ec-4dcd-b603-ef16b4290c93712202025957AM.pdf,1,2020-01-09T12:35:48.840,
July Continuing 2020,EB50,Segregated Fund,Political Party,7/12/2020,,0300091,Kenosha Co Democratic Party,,,2020,,False,36fa52d9-27d8-460b-8916-72b5c4bc7aac712202030242AM.pdf,1,2020-01-09T12:35:48.840,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,,0105992,Plumer for Assembly,,State Assembly  District No. 42,2020,,False,,1,2020-05-09T08:49:22.573,
July Continuing 2020,EB2,Committee Report,Political Party,7/12/2020,,0300265,Barron Co Democratic Party,,,2020,,False,,1,2019-10-12T12:30:33.163,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,,0105751,Friends of DC Crowley,,State Assembly  District No. 17,2020,,False,,1,2019-05-28T16:23:30.170,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,8/24/2021,0105933,Supporters of Steven Shevey,,State Assembly  District No. 14,2020,,True,,1,2020-02-05T16:51:07.983,
July Continuing 2020,EB10A,Conduit Report - No Activity,Conduit,7/12/2020,,0900150,Merrill Prof Fire Fighters ,,,2020,,False,,1,2020-07-12T13:03:46.463,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,10/26/2020,0106099,Elect Mindy Tempelis,,Outagamie County District Attorney,2020,,False,,1,2019-10-02T15:53:31.500,
July Continuing 2020,EB2,Committee Report,Political Party,7/12/2020,,0300100,Lincoln Co Democratic Party,,,2020,,False,,1,2019-10-20T10:27:24.900,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,,0104514,Friends of Paul Tittl,,State Assembly  District No. 25,2020,,False,,1,2020-05-13T15:19:52.230,
July Continuing 2020,EB2,Committee Report,PAC,7/12/2020,10/29/2020,0501253,WI Assn-Campground Owners PAC,,,2020,,False,,1,2020-07-12T13:45:41.103,
July Continuing 2020,EB2,Committee Report,Political Party,7/12/2020,,0300039,La Crosse County Democratic Party,,,2020,,False,,1,2020-01-10T09:57:23.750,
July Continuing 2020,EB2A,Committee Report - No Activity,PAC,7/12/2020,,0501413,IAFF Local 847 Fire PAC,,,2020,,False,,1,2020-01-12T08:19:22.550,
July Continuing 2020,EB2,Committee Report,Political Party,7/12/2020,,0300040,Milwaukee County Democratic Party,,,2020,,False,,1,2020-01-14T13:28:05.887,
July Continuing 2020,EB2,Committee Report,Political Party,7/12/2020,,0300042,Outagamie County Democratic Party,,,2020,,False,,1,2020-07-12T16:08:51.950,
July Continuing 2020,EB2,Committee Report,PAC,7/12/2020,,0500373,MTI Voters (Voice of Teachers),,,2020,,False,,1,2020-07-12T16:31:01.877,
July Continuing 2020,EB2,Committee Report,PAC,7/12/2020,,0501732,Bell Ambulance  Inc. Employees PAC,,,2020,,False,,1,2020-01-15T08:44:49.147,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,10/25/2020,0106225,The Time is Now to Elect Scott Soik,,State Assembly  District No. 71,2020,,False,,1,2020-04-10T13:49:11.677,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,,0105996,Wendy Sue for Wisconsin,,State Assembly  District No. 68,2020,,False,,1,2020-04-10T16:43:11.687,
Fall Pre-Primary 2020,EB2A,Committee Report - No Activity,State Candidate,7/12/2020,,0105832,Sharon's Neighbors,2020,State Assembly  District No. 03,2020,,True,,1,2020-07-12T19:24:34.747,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,4/26/2021,0106133,Joni Anderson for Senate 14,,State Senate  District No. 14,2020,,False,,1,2020-07-08T16:38:19.570,
July Continuing 2020,EB2,Committee Report,Political Party,7/12/2020,7/30/2020,0300221,Republican Party of Vilas County,,,2020,,False,,1,2020-07-01T20:06:09.823,
July Continuing 2020,EB2,Committee Report,Political Party,7/12/2020,,0300101,Republican Party of Lincoln Co,,,2020,,False,,1,2019-08-20T13:55:51.043,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,,0104513,Greg Parker for District Attorney,,Menominee-Shawano County District Attorney,2020,,False,,1,2020-05-15T17:09:24.783,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,11/5/2020,0106181,Committee for a Better Madison,,State Assembly  District No. 76,2020,,False,,1,2020-01-28T11:03:26.097,
July Continuing 2020,EB2,Committee Report,State Candidate,7/12/2020,,0105756,Zeke Wiedenfeld for District Attorney,,Walworth County District Attorney,2020,,False,,1,2020-06-10T21:19:47.003,
July Continuing 2020,EB2,Committee Report,State Candidate,7/13/2020,,0106156,McIlquham for Judge,,Chippewa County Circuit Court  Branch 03,2020,,False,,1,2019-11-10T14:44:13.320,
July Continuing 2020,EB10A,Conduit Report - No Activity,Conduit,7/13/2020,,0900227,Miron Construction Conduit ,,,2020,,False,,1,2010-03-10T08:14:12.993,
July Continuing 2020,EB2,Committee Report,PAC,7/13/2020,,0500206,WRA WI Restaurant Assn PAC,,,2020,,False,,1,2020-07-06T08:59:25.100,
July Continuing 2020,EB2,Committee Report,Political Party,7/13/2020,,0300108,Marinette County Republican Party,,,2020,,False,,1,2020-06-18T14:06:47.370,
July Continuing 2020,EB10A,Conduit Report - No Activity,Conduit,7/13/2020,,0900099,WI Restaurant Assn ,,,2020,,False,,1,2018-08-08T09:36:14.897,
July Continuing 2020,EB2,Committee Report,Independent Expenditure Committee,7/13/2020,,1100089,WMC Jobs Fund,,,2020,,False,,1,2020-01-13T12:23:37.797,
July Continuing 2020,EB2,Committee Report,PAC,7/13/2020,,0500515,Wisconsin Veterinary Medical Association Political Action Committee,,,2020,,False,,1,2020-01-14T14:20:31.947,
July Continuing 2020,EB2,Committee Report,PAC,7/13/2020,,0500146,REALTORS Political Action Committee - Wisconsin,,,2020,,False,,1,2020-02-06T10:00:03.050,
July Continuing 2020,EB10,Conduit Report,Conduit,7/13/2020,,0900010,Realtors Direct Giver Program ,,,2020,,False,,1,2018-02-08T10:28:05.977,
July Continuing 2020,EB2,Committee Report,Political Party,7/13/2020,,0300195,Sheboygan Co Democratic Party,,,2020,,False,,1,2020-07-10T14:04:56.057,
July Continuing 2020,EB2,Committee Report,Independent Expenditure Committee,7/13/2020,10/7/2020,1100058,Wisconsin REALTORS Political Fund,,,2020,,False,,1,2019-09-12T13:01:43.353,
September Report 2020,EB2,Committee Report,PAC,9/3/2020,,0501628,Forestry and Paper Products PAC,,,2020,,False,,1,2020-01-10T10:32:49.257,
September Report 2020,EB2,Committee Report,Political Party,9/3/2020,9/22/2020,0300071,Fond du Lac Co Democratic Party,,,2020,,False,,1,2019-09-15T21:06:12.010,
Spring Pre-Primary 2020,EB2,Committee Report,Political Party,9/4/2020,10/7/2020,0300181,Rusk Co Democratic Party,2020,,2020,,False,,1,2020-01-07T14:31:49.440,
September Report 2020,EB2,Committee Report,State Candidate,9/4/2020,,0105927,Rick Gundrum for 58th Assembly,,State Assembly  District No. 58,2020,,False,,1,2020-04-20T11:27:03.353,
September Report 2020,EB2,Committee Report,State Candidate,9/4/2020,9/17/2020,0105192,Johnson for Wisconsin,,State Assembly  District No. 85,2020,,False,,1,2020-04-17T07:27:51.823,
September Report 2020,EB2,Committee Report,State Candidate,9/4/2020,,0104973,Friends of Dianne Hesselbein,,State Assembly  District No. 79,2020,,False,,1,2020-04-14T13:08:22.247,
Spring Pre-Primary 2020,EB2,Committee Report,PAC,9/4/2020,,0500325,AGCWI PAC,2020,,2020,,False,,1,2020-01-27T12:46:52.103,
September Report 2020,EB10,Conduit Report,Conduit,9/4/2020,,0900151,Delta Dental of WI Conduit ,,,2020,,False,,1,2015-08-11T13:57:57.600,
September Report 2020,EB2,Committee Report,State Candidate,9/4/2020,,0104243,Committee to Elect Joan Ballweg,,State Senate  District No. 14,2020,,False,,1,2020-02-24T16:14:21.677,
September Report 2020,EB2A,Committee Report - No Activity,State Candidate,9/4/2020,,0105333,David L Lasee for District Attorney,,Brown County District Attorney,2020,,False,,1,2020-04-14T20:20:08.130,
September Report 2020,EB10,Conduit Report,Conduit,9/4/2020,3/2/2021,0900281,WEA Trust Employee Conduit ,,,2020,,True,,1,2020-07-06T11:48:08.227,
September Report 2020,EB2,Committee Report,State Candidate,9/5/2020,9/20/2020,0106284,Deb Silvers,,State Assembly  District No. 40,2020,,False,,0,2020-07-14T10:28:36.670,
September Report 2020,EB10,Conduit Report,Conduit,9/6/2020,,0900044,Badger 2000 ,,,2020,,False,,1,2020-09-05T14:19:18.750,
September Report 2020,EB2A,Committee Report - No Activity,State Candidate,9/7/2020,,0106290,Jayne Swiggum for Wisconsin State Senate,,State Senate  District No. 32,2020,,False,,1,2020-05-14T12:05:49.707,
September Report 2020,EB10,Conduit Report,Conduit,9/7/2020,2/13/2023,0900037,Friends of WI Funeral Service ,,,2020,,True,,1,2020-07-16T13:54:22.703,
September Report 2020,EB2,Committee Report,State Candidate,9/7/2020,,0104463,Tauchen for Assembly,,State Assembly  District No. 06,2020,,False,,1,2020-05-20T13:33:31.823,
September Report 2020,EB2,Committee Report,State Candidate,9/7/2020,,0106234,Brian Giles for Assembly,,State Assembly  District No. 69,2020,,False,,1,2020-04-15T06:21:49.777,
September Report 2020,EB2,Committee Report,State Candidate,9/7/2020,9/7/2020,0106209,Committee to Elect Luke Dretske,,State Assembly  District No. 41,2020,,False,,0,2020-03-25T23:27:40.903,
September Report 2020,EB2A,Committee Report - No Activity,State Candidate,9/7/2020,,0105933,Supporters of Steven Shevey,,State Assembly  District No. 14,2020,,False,,1,2020-02-05T16:51:07.983,
September Report 2020,EB2,Committee Report,Political Party,9/7/2020,,0300044,Polk County Democratic Party,,,2020,,False,,1,2020-07-10T12:03:21.193,
September Report 2020,EB2,Committee Report,State Candidate,9/7/2020,,0105472,Friends of Mark Spreitzer,,State Assembly  District No. 45,2020,,False,,1,2020-01-15T20:44:01.777,
September Report 2020,EB2,Committee Report,Political Party,9/7/2020,11/30/2020,0300093,Kewaunee County Democratic Party,,,2020,,False,,1,2020-07-31T15:13:48.557,
September Report 2020,EB2,Committee Report,State Candidate,9/7/2020,,0105660,Friends of Cindi Duchow,,State Assembly  District No. 99,2020,,False,,1,2020-05-07T21:07:06.080,
September Report 2020,EB2,Committee Report,State Candidate,9/8/2020,,0105861,Harlow for Wisconsin,,Governor,2020,,False,,1,2018-10-29T23:42:49.473,
September Report 2020,EB2A,Committee Report - No Activity,Independent Expenditure Committee,9/8/2020,,1100065,Jobs First Coalition Political Fund,,,2020,,False,,1,2020-01-14T14:03:58.787,
September Report 2020,EB2,Committee Report,State Candidate,9/8/2020,8/24/2021,0106182,Citizens for Dan Griffin,,State Senate  District No. 28,2020,,False,,1,2020-05-19T13:03:30.257,
September Report 2020,EB2,Committee Report,PAC,9/8/2020,,0500907,SEIU Wisconsin State Council PAC,,,2020,,False,,1,2020-01-10T12:00:57.727,
September Report 2020,EB2A,Committee Report - No Activity,Independent Expenditure Committee,9/8/2020,,1100095,Midwest Growth Fund,,,2020,,False,,1,2019-04-04T10:38:10.937,
September Report 2020,EB10A,Conduit Report - No Activity,Conduit,9/8/2020,,0900253,Molina Healthcare of Wisconsin Conduit ,,,2020,,False,,1,2020-07-02T10:41:37.370,
September Report 2020,EB2,Committee Report,State Candidate,9/8/2020,,0106180,Friends of Paul McCreary,,State Assembly  District No. 82,2020,,False,,0,2020-01-27T15:56:14.853,
September Report 2020,EB10,Conduit Report,Conduit,9/8/2020,,0900250,The State Farm Agent and Associate Conduit of Wisconsin ,,,2020,,False,,1,2017-12-13T15:49:16.610,
September Report 2020,EB2,Committee Report,Political Party,9/8/2020,10/7/2020,0300181,Rusk Co Democratic Party,,,2020,,False,,1,2020-01-07T14:31:49.440,
September Report 2020,EB10,Conduit Report,Conduit,9/8/2020,,0900206,Justice Fund ,,,2020,,False,,1,2017-01-03T14:16:32.113,
September Report 2020,EB2,Committee Report,State Candidate,9/8/2020,9/18/2020,0106281,Citizens for Karl Jaeger,,State Assembly  District No. 89,2020,,False,,1,2020-05-05T13:53:43.750,
September Report 2020,EB2,Committee Report,State Candidate,9/8/2020,5/5/2021,0106195,Clint Moses for WI 29th,,State Assembly  District No. 29,2020,,False,,1,2020-04-20T09:54:42.380,
Fall Pre-Election 2020,EB2A,Committee Report - No Activity,State Candidate,9/8/2020,,0105290,Committee to Elect Brian Wright,2020,Barron County District Attorney,2020,,False,,1,2020-04-16T07:46:23.073,
September Report 2020,EB2,Committee Report,PAC,9/8/2020,,0500373,MTI Voters (Voice of Teachers),,,2020,,False,,1,2020-07-12T16:31:01.877,
September Report 2020,EB2,Committee Report,PAC,9/9/2020,,0500636,Tavern Industry PAC,,,2020,,False,,1,2020-07-28T08:29:55.680,
September Report 2020,EB10A,Conduit Report - No Activity,Conduit,9/9/2020,,0900034,Tavern League of WI Direct Givers Fund ,,,2020,,False,,1,2020-07-28T08:33:01.380,
September Report 2020,EB2,Committee Report,PAC,9/9/2020,,0500167,SMART Transportation DIvision PAC,,,2020,,False,,1,2020-01-15T14:05:50.880,
September Report 2020,EB2,Committee Report,State Candidate,9/9/2020,10/7/2020,0106239,Friends of Amber Hahn,,St. Croix County District Attorney,2020,,False,,0,2020-07-27T16:49:59.403,
September Report 2020,EB2,Committee Report,PAC,9/9/2020,,0501349,IBEW Local Union 430 COPE Fund,,,2020,,False,,1,2020-09-09T11:54:40.143,
September Report 2020,EB10,Conduit Report,Conduit,9/9/2020,,0900144,Madison Firefighters Can Do It ,,,2020,,False,,1,2020-02-10T11:10:04.420,
September Report 2020,EB2,Committee Report,PAC,9/9/2020,,0500353,FONEPAC,,,2020,,False,,1,2020-08-03T11:33:29.843,
September Report 2020,EB10,Conduit Report,Conduit,9/9/2020,,0900014,WI Telecommunications Assn ,,,2020,,False,,1,2019-07-12T12:09:49.120,
September Report 2020,EB2,Committee Report,Political Party,9/9/2020,,0300185,Sawyer County - Lac Courte Oreilles Democratic Party,,,2020,,False,,1,2020-01-27T14:58:13.477,
September Report 2020,EB2,Committee Report,PAC,9/9/2020,,0500313,WEC Energy Group PAC (WEC PAC),,,2020,,False,,1,2020-03-18T16:29:21.920,
September Report 2020,EB2,Committee Report,State Candidate,9/9/2020,10/23/2020,0106298,Criste Greening for Assembly,,State Assembly  District No. 72,2020,,False,,1,2020-05-11T19:37:35.637,
September Report 2020,EB2,Committee Report,PAC,9/9/2020,,0500030,Building A Better WI,,,2020,,False,,1,2020-09-09T13:56:25.773,
September Report 2020,EB10,Conduit Report,Conduit,9/9/2020,,0900036,Builders Direct Fund ,,,2020,,True,,1,2019-10-28T10:07:09.830,
July Continuing 2020,EB2,Committee Report,Political Party,9/9/2020,10/29/2022,0300297,Democratic Party of the 3rd Congressional District,,,2020,,False,,1,2020-09-09T14:23:00.330,
September Report 2020,EB10,Conduit Report,Conduit,9/9/2020,,0900110,PSW Friends of Pharmacy Fund ,,,2020,,False,,1,2017-10-02T11:43:50.700,
September Report 2020,EB2,Committee Report,PAC,9/9/2020,,0501638,SC JOHNSON & SON INC POLITICAL ACTION COMMITTEE,,,2020,,False,,1,2020-01-07T15:39:09.317,
September Report 2020,EB2,Committee Report,Political Party,9/9/2020,,0300337,Burnett County Republican Party,,,2020,,False,,1,2020-03-11T15:19:57.650,
September Report 2020,EB2,Committee Report,PAC,9/9/2020,,0500387,WI Institute of CPA's PAC,,,2020,,False,,1,2020-01-03T14:40:46.997,
September Report 2020,EB2,Committee Report,State Candidate,9/9/2020,11/4/2020,0106229,Eric J. Beach for Assembly,,State Assembly  District No. 57,2020,,False,,1,2020-07-08T11:02:31.590,
September Report 2020,EB10,Conduit Report,Conduit,9/10/2020,,0900099,WI Restaurant Assn ,,,2020,,False,,1,2018-08-08T09:36:14.897,
September Report 2020,EB10,Conduit Report,Conduit,9/10/2020,,0900004,WI Optometric Assn PCF ,,,2020,,False,,1,2016-02-25T17:17:05.157,
September Report 2020,EB2,Committee Report,PAC,9/10/2020,,0501357,Plumbers/Steamfitters 434 PAC,,,2020,,False,,1,2020-07-13T18:17:28.250,
Fall Pre-Primary 2020,EB2,Committee Report,Political Party,9/10/2020,9/22/2020,0300055,Democratic Party of Door Co,2020,,2020,,False,,1,2020-04-16T09:55:15.147,
September Report 2020,EB2,Committee Report,State Candidate,9/10/2020,,0105525,Citizens of the 81st for Dave Considine,,State Assembly  District No. 81,2020,,False,,1,2020-05-03T23:48:05.187,
September Report 2020,EB2,Committee Report,State Candidate,9/10/2020,,0105903,Slamka for Assembly,,State Assembly  District No. 78,2020,,False,,0,2019-08-28T15:30:05.770,
September Report 2020,EB2A,Committee Report - No Activity,PAC,9/11/2020,,0501701,Wisconsin Athletic Trainer's Association PAC,,,2020,,False,,1,2020-09-11T09:20:35.090,
September Report 2020,EB2,Committee Report,State Candidate,9/11/2020,9/20/2020,0106150,Citizens for Mason Becker,,State Assembly  District No. 33,2020,,False,,1,2019-10-21T16:02:07.997,
September Report 2020,EB2,Committee Report,State Candidate,9/11/2020,8/27/2021,0106305,Bobowski for Senator,,State Senate  District No. 28,2020,,False,,1,2020-05-19T19:19:03.863,
September Report 2020,EB2,Committee Report,State Candidate,9/11/2020,,0104277,Friends of Gary Hebl,,State Assembly  District No. 46,2020,,False,,1,2020-04-15T15:57:22.510,
September Report 2020,EB10,Conduit Report,Conduit,9/11/2020,,0900193,Whyte Hirschboeck Gov Affairs ,,,2020,,False,,1,2016-07-05T09:51:26.710,
September Report 2020,EB2,Committee Report,State Candidate,9/11/2020,8/28/2021,0106193,Friends of Sue Conley,,State Assembly  District No. 44,2020,,False,,1,2020-02-20T18:06:42.833,
September Report 2020,EB10,Conduit Report,Conduit,9/11/2020,,0900073,Direct Givers/Waukesha County ,,,2020,,False,,1,2019-02-07T09:02:46.480,
September Report 2020,EB2,Committee Report,State Candidate,9/11/2020,,0105261,Sanfelippo for Assembly,,State Assembly  District No. 15,2020,,False,,1,2020-01-19T13:02:33.123,
September Report 2020,EB2,Committee Report,State Candidate,9/11/2020,,0105770,Friends of Chuck Wichgers,,State Assembly  District No. 83,2020,,False,,1,2020-05-02T13:33:11.477,
September Report 2020,EB2,Committee Report,State Candidate,9/11/2020,,0105423,Adam Neylon for Assembly,,State Assembly  District No. 98,2020,,False,,1,2020-03-31T10:33:07.870,
September Report 2020,EB2,Committee Report,State Candidate,9/12/2020,,0102807,KenVanDykeforSenateAtGmail.com,,State Senate  District No. 14,2020,,False,c181330f-26f8-4276-91e5-bad8fab0e7989122020125333PM.pdf,0,2020-04-08T10:33:02.450,
September Report 2020,EB2A,Committee Report - No Activity,State Candidate,9/12/2020,,0105362,Sean Froelich for District Attorney,,Pierce County District Attorney,2020,,False,,1,2020-01-02T18:44:36.960,
September Report 2020,EB2,Committee Report,State Candidate,9/12/2020,,0105609,Phil Anderson for State Assembly,,State Assembly  District No. 47,2020,,False,,1,2020-04-21T11:47:21.320,
September Report 2020,EB2,Committee Report,State Candidate,9/12/2020,,0105954,Kim Butler For Wisconsin,,State Assembly  District No. 28,2020,,False,,0,2020-06-01T11:08:47.430,
September Report 2020,EB2A,Committee Report - No Activity,State Candidate,9/13/2020,,0105779,The Committee to Elect Haberman for DA,,Calumet County District Attorney,2020,,False,,1,2020-04-12T07:01:18.880,
September Report 2020,EB2A,Committee Report - No Activity,State Candidate,9/13/2020,,0105727,Jacalyn LaBre for District Attorney,,Manitowoc County District Attorney,2020,,True,,1,2020-04-12T11:10:28.970,
September Report 2020,EB2,Committee Report,State Candidate,9/13/2020,9/16/2020,0106020,Committee to Elect Katherine R. Gaulke,,State Assembly  District No. 32,2020,,False,,1,2020-04-15T17:36:10.453,
September Report 2020,EB2,Committee Report,State Candidate,9/13/2020,10/23/2020,0106322,Vote For Berge,,State Assembly  District No. 68,2020,,False,,1,2020-06-12T12:48:08.687,
September Report 2020,EB2,Committee Report,PAC,9/13/2020,,0501151,Pro-Life WI Victory Fund PAC,,,2020,,True,,1,2020-01-04T20:25:37.147,
September Report 2020,EB2A,Committee Report - No Activity,State Candidate,9/13/2020,,0105809,Friends of Kenneth Hamm,,Juneau County District Attorney,2020,,False,,1,2020-05-15T12:09:26.297,
September Report 2020,EB2,Committee Report,State Candidate,9/13/2020,4/30/2021,0106133,Joni Anderson for Senate 14,,State Senate  District No. 14,2020,,True,,1,2020-07-08T16:38:19.570,
September Report 2020,EB2,Committee Report,State Candidate,9/13/2020,,0105729,Don Vruwink for Assembly,,State Assembly  District No. 43,2020,,False,,1,2020-04-06T08:46:22.767,
September Report 2020,EB2,Committee Report,State Candidate,9/14/2020,,0103344,Mike Graveley for District Attorney,,Kenosha County District Attorney,2020,,False,,1,2020-09-04T07:51:41.803,
September Report 2020,EB2,Committee Report,Political Party,9/14/2020,,0300060,Douglas Co Republican Party,,,2020,,False,,1,2020-07-21T09:45:03.750,
September Report 2020,EB10A,Conduit Report - No Activity,Conduit,9/14/2020,,0900278,Friends of Wisconsin BioFuels ,,,2020,,False,,1,2017-02-26T18:32:31.810,
September Report 2020,EB10A,Conduit Report - No Activity,Conduit,9/14/2020,,0900264,Friends of Wisconsin Surveyors ,,,2020,,False,,1,2014-11-07T11:15:12.737,
September Report 2020,EB10,Conduit Report,Conduit,9/14/2020,,0900234,AASCW Campaign Action Fund ,,,2020,,False,,1,2014-11-07T11:14:10.933,
September Report 2020,EB2,Committee Report,PAC,9/14/2020,,0501398,IBEW Local 577 COPE Fund,,,2020,,False,,1,2020-08-18T11:58:51.257,
September Report 2020,EB2,Committee Report,PAC,9/14/2020,,0500464,Xcel Energy-WI PAC,,,2020,,False,,1,2020-04-03T08:18:21.267,
September Report 2020,EB10,Conduit Report,Conduit,9/14/2020,,0900108,Xcel Energy Conduit Fund ,,,2020,,False,,1,2019-05-03T13:22:14.733,
September Report 2020,EB2,Committee Report,PAC,9/14/2020,1/13/2021,0500583,Operating Engineers 139 PAC,,,2020,,False,,1,2019-10-07T09:42:38.010,
September Report 2020,EB10A,Conduit Report - No Activity,Conduit,9/14/2020,,0900191,Operating Engineers Lcl 139 Co ,,,2020,,False,,1,2019-10-21T12:34:02.750,
September Report 2020,EB2,Committee Report,Political Party,9/14/2020,,0300195,Sheboygan Co Democratic Party,,,2020,,False,,1,2020-07-10T14:04:56.057,
September Report 2020,EB2A,Committee Report - No Activity,Independent Expenditure Committee,9/14/2020,,1100071,Construction Trades Coalition,,,2020,,False,,1,2020-01-10T16:46:43.913,
September Report 2020,EB2A,Committee Report - No Activity,Independent Expenditure Committee,9/14/2020,,1100097,Safe Transportation Over Politics,,,2020,,False,,1,2020-09-14T11:51:38.360,
September Report 2020,EB2,Committee Report,State Candidate,9/14/2020,10/16/2020,0105123,Billings for Assembly,,State Assembly  District No. 95,2020,,False,,1,2020-05-13T12:03:13.970,
September Report 2020,EB2A,Committee Report - No Activity,PAC,9/14/2020,,0501723,People For the American Way Action Fund,,,2020,,False,,1,2019-10-31T10:38:49.903,
September Report 2020,EB2,Committee Report,Independent Expenditure Committee,9/14/2020,,1100089,WMC Jobs Fund,,,2020,,False,,1,2020-01-13T12:23:37.797,
September Report 2020,EB2,Committee Report,State Candidate,9/14/2020,,0103353,Frnds of Steve Wieckert-Assm,,State Assembly  District No. 57,2020,,False,,1,2020-07-13T13:09:35.823,
September Report 2020,EB10,Conduit Report,Conduit,9/14/2020,,0900124,Friends of WI Bear Hunters ,,,2020,,False,,1,2017-01-08T12:11:32.880,
September Report 2020,EB2,Committee Report,PAC,9/14/2020,,0500319,Wisconsin Beverage Association PAC,,,2020,,False,,1,2020-01-10T18:06:05.707,
September Report 2020,EB2,Committee Report,Political Party,9/14/2020,,0300224,Washington County Democratic Party,,,2020,,False,,1,2020-01-02T10:53:59.573,
September Report 2020,EB2,Committee Report,PAC,9/15/2020,,0500117,Milwaukee Police Association Political Action Committee,,,2020,,False,,1,2020-01-03T07:59:59.280,
September Report 2020,EB2,Committee Report,PAC,9/15/2020,,0500513,AFT Wisconsin COPE,,,2020,,False,,1,2020-03-27T10:38:56.437,
September Report 2020,EB2,Committee Report,PAC,9/15/2020,4/13/2022,0500366,AT&T Wisconsin Employee PAC,,,2020,,False,,1,2020-07-10T12:35:01.243,
